Geneid,REM_1,REM_2,REM_3,EIDD_1,EIDD_2,EIDD_3,EIDD_4,Control_1,Control_2,Control_3,Control_4
ENSMAUG00000001291,0,0,0,1,2,0,4,0,0,0,0
ENSMAUG00000001322,4722,4456,5106,1883,2540,1707,878,767,380,2197,926
ENSMAUG00000001331,1282,1131,1178,1173,1490,864,466,702,308,1399,625
ENSMAUG00000001346,395,264,215,122,528,114,45,340,303,402,469
ENSMAUG00000001368,1351,999,1074,352,530,470,161,165,77,519,152
ENSMAUG00000001386,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000001436,3655,3436,4598,678,1006,774,317,589,344,1243,888
ENSMAUG00000001437,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000001440,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000001472,761,637,786,300,269,172,113,127,60,313,230
ENSMAUG00000001527,27,53,73,49,102,82,30,12,1,74,16
ENSMAUG00000001529,281,173,194,8,37,42,12,44,8,56,34
ENSMAUG00000001532,0,0,0,3,4,1,1,0,0,0,1
ENSMAUG00000001586,20903,14832,13233,1575,1846,1147,579,874,478,2356,1257
ENSMAUG00000001631,0,0,0,0,2,0,0,0,0,0,0
ENSMAUG00000001646,0,4,4,1,4,4,0,0,0,1,0
ENSMAUG00000001678,2,0,14,122,132,68,36,47,19,113,30
ENSMAUG00000001706,3227,5809,13821,4700,3272,3608,2170,375,98,1274,166
ENSMAUG00000001709,0,0,0,0,2,2,0,0,0,0,0
ENSMAUG00000001730,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000001731,1522,1335,1592,411,529,369,212,313,183,609,434
ENSMAUG00000001755,733,603,415,437,1040,459,246,238,149,749,312
ENSMAUG00000001761,0,0,0,2,0,0,0,0,0,0,0
ENSMAUG00000001774,0,0,0,12,6,12,4,0,0,10,2
ENSMAUG00000001777,0,0,0,0,0,2,0,0,0,0,0
ENSMAUG00000001811,1963,1494,1801,469,593,386,259,338,144,770,447
ENSMAUG00000001815,0,0,2,23,19,19,3,7,2,35,8
ENSMAUG00000001822,92,80,88,28,49,22,5,18,12,21,24
ENSMAUG00000001826,144,56,88,5,13,7,1,1,4,6,2
ENSMAUG00000001848,45,57,38,17,32,25,17,25,8,38,33
ENSMAUG00000001875,0,0,0,0,2,0,0,0,0,0,0
ENSMAUG00000001892,0,4,0,0,1,2,0,0,0,5,0
ENSMAUG00000001897,14,12,14,18,6,10,8,2,0,25,3
ENSMAUG00000001915,287,217,186,119,107,168,52,75,36,157,78
ENSMAUG00000001942,937,906,863,321,423,211,232,240,143,450,376
ENSMAUG00000001949,4,8,28,14,6,4,6,0,2,18,6
ENSMAUG00000001985,174,153,149,56,83,57,34,22,22,54,24
ENSMAUG00000002010,284,402,436,101,125,53,78,67,34,152,100
ENSMAUG00000002012,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000002023,378,254,248,64,44,59,14,21,6,62,40
ENSMAUG00000002036,594,541,546,194,181,165,81,81,32,211,77
ENSMAUG00000002039,575,556,583,307,230,294,80,94,66,389,138
ENSMAUG00000002062,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000002075,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000002095,657,313,280,157,156,132,54,172,88,305,257
